"","poblacio","superficie","confirmed","deaths","recovered","population_dens"
"Andalucia",8476718,87600,238783,4296,10671,96.7661872146119
"Aragon",1330445,47700,74534,2360,3772,27.891928721174
"Asturias",1018775,10600,24175,1073,1063,96.1108490566038
"Balears",1210750,5000,25288,425,1533,242.15
"Canarias",2237309,7450,108586,2444,9970,300.309932885906
"Cantabria",582357,5300,21753,346,1537,109.878679245283
"Castilla y Leon",2401230,94200,15903,324,2287,25.4907643312102
"Castilla la Mancha",2045384,79500,87956,3825,6392,25.7281006289308
"Catalunya",7652069,32100,123433,4647,8716,238.382211838006
"Comunitat Valenciana",5028650,23300,310141,8126,26203,215.821888412017
"Extremadura",1061768,41600,2854,55,163,25.5232692307692
"Galicia",2702244,29500,29461,971,2652,91.6014915254237
"Madrid",6747425,8000,51557,1246,9204,843.428125
"Murcia",1504607,11300,16881,561,3107,133.151061946903
"Navarra",656487,10400,354326,11426,40736,63.12375
"Pais Vasco",218310,7250,4152,43,125,30.111724137931
"La Rioja",315926,5050,55116,623,2180,62.559603960396
"Ceuta",84032,19,40032,893,3905,4422.73684210526
"Melilla",84496,13,99716,2568,16160,6499.69230769231
